['2020-02-25 11:30:21', '2020-02-25 11:30:53', '31.650', '192.168.250.3', '23.226.231.226', '80', '43228', 'TCP', '.A..S.', '0', '0', '7', '308', '0', '0', '1', '4', '0', '0', '0', '0', '0', '0', '0.0.0.0', '0.0.0.0', '0', '0', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '    0.000', '    0.000', '    0.000', '0.0.0.0', '0/0', '1', '1970-01-01 03:00:00.000']
['2020-02-25 11:21:44', '2020-02-25 11:31:02', '557.630', '192.168.250.3', '23.226.231.226', '80', '30844', 'TCP', '.A..S.', '0', '0', '13', '572', '0', '0', '1', '4', '0', '0', '0', '0', '0', '0', '0.0.0.0', '0.0.0.0', '0', '0', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '    0.000', '    0.000', '    0.000', '0.0.0.0', '0/0', '1', '1970-01-01 03:00:00.000']
['2020-02-25 11:30:59', '2020-02-25 11:31:04', '5.020', '192.168.250.3', '141.8.142.75', '80', '62395', 'TCP', '.A..S.', '0', '0', '9', '5812', '0', '0', '1', '4', '0', '0', '0', '0', '0', '0', '0.0.0.0', '0.0.0.0', '0', '0', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '    0.000', '    0.000', '    0.000', '0.0.0.0', '0/0', '1', '1970-01-01 03:00:00.000']
['2020-02-25 11:30:34', '2020-02-25 11:31:05', '31.180', '192.168.250.3', '23.226.231.226', '80', '30437', 'TCP', '.A..S.', '0', '0', '7', '308', '0', '0', '1', '4', '0', '0', '0', '0', '0', '0', '0.0.0.0', '0.0.0.0', '0', '0', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '    0.000', '    0.000', '    0.000', '0.0.0.0', '0/0', '1', '1970-01-01 03:00:00.000']
['2020-02-25 11:31:09', '2020-02-25 11:31:09', '0.000', '192.168.250.3', '192.168.250.1', '29400', '53', 'UDP', '......', '0', '0', '2', '142', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0.0.0.0', '0.0.0.0', '0', '0', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '    0.000', '    0.000', '    0.000', '0.0.0.0', '0/0', '1', '1970-01-01 03:00:00.000']
['2020-02-25 11:31:09', '2020-02-25 11:31:09', '0.000', '192.168.250.1', '192.168.250.3', '53', '29400', 'UDP', '......', '0', '0', '2', '322', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0.0.0.0', '0.0.0.0', '0', '0', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '    0.000', '    0.000', '    0.000', '0.0.0.0', '0/0', '1', '1970-01-01 03:00:00.000']
['2020-02-25 11:31:09', '2020-02-25 11:31:09', '0.000', '192.168.250.3', '192.168.250.1', '11573', '53', 'UDP', '......', '0', '0', '2', '124', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0.0.0.0', '0.0.0.0', '0', '0', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '    0.000', '    0.000', '    0.000', '0.0.0.0', '0/0', '1', '1970-01-01 03:00:00.000']
['2020-02-25 11:31:09', '2020-02-25 11:31:09', '0.000', '192.168.250.1', '192.168.250.3', '53', '11573', 'UDP', '......', '0', '0', '2', '124', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0.0.0.0', '0.0.0.0', '0', '0', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '    0.000', '    0.000', '    0.000', '0.0.0.0', '0/0', '1', '1970-01-01 03:00:00.000']
['2020-02-25 11:31:09', '2020-02-25 11:31:09', '0.000', '192.168.250.3', '192.168.250.1', '37143', '53', 'UDP', '......', '0', '0', '2', '140', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0.0.0.0', '0.0.0.0', '0', '0', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '    0.000', '    0.000', '    0.000', '0.0.0.0', '0/0', '1', '1970-01-01 03:00:00.000']
['2020-02-25 11:31:09', '2020-02-25 11:31:09', '0.000', '192.168.250.1', '192.168.250.3', '53', '37143', 'UDP', '......', '0', '0', '2', '140', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0.0.0.0', '0.0.0.0', '0', '0', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '    0.000', '    0.000', '    0.000', '0.0.0.0', '0/0', '1', '1970-01-01 03:00:00.000']
['2020-02-25 10:39:39', '2020-02-25 11:31:13', '3093.900', '192.168.250.3', '192.36.143.130', '123', '123', 'UDP', '......', '0', '0', '6', '456', '0', '0', '1', '4', '0', '0', '0', '0', '0', '0', '0.0.0.0', '0.0.0.0', '0', '0', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '    0.000', '    0.000', '    0.000', '0.0.0.0', '0/0', '1', '1970-01-01 03:00:00.000']
['2020-02-25 11:30:47', '2020-02-25 11:31:18', '31.130', '192.168.250.3', '23.226.231.226', '80', '17646', 'TCP', '.A..S.', '0', '0', '7', '308', '0', '0', '1', '4', '0', '0', '0', '0', '0', '0', '0.0.0.0', '0.0.0.0', '0', '0', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '    0.000', '    0.000', '    0.000', '0.0.0.0', '0/0', '1', '1970-01-01 03:00:00.000']
['2020-02-25 11:31:09', '2020-02-25 11:31:20', '11.100', '192.168.250.3', '92.118.38.58', '25', '13550', 'TCP', '.A..S.', '0', '0', '12', '972', '0', '0', '1', '4', '0', '0', '0', '0', '0', '0', '0.0.0.0', '0.0.0.0', '0', '0', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '    0.000', '    0.000', '    0.000', '0.0.0.0', '0/0', '1', '1970-01-01 03:00:00.000']
['2020-02-25 11:21:57', '2020-02-25 11:31:23', '566.140', '192.168.250.3', '23.226.231.226', '80', '18053', 'TCP', '.A..S.', '0', '0', '13', '572', '0', '0', '1', '4', '0', '0', '0', '0', '0', '0', '0.0.0.0', '0.0.0.0', '0', '0', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '    0.000', '    0.000', '    0.000', '0.0.0.0', '0/0', '1', '1970-01-01 03:00:00.000']
['2020-02-25 11:31:18', '2020-02-25 11:31:24', '5.500', '192.168.250.3', '141.8.183.203', '80', '45825', 'TCP', '.A..S.', '0', '0', '18', '18469', '0', '0', '1', '4', '0', '0', '0', '0', '0', '0', '0.0.0.0', '0.0.0.0', '0', '0', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '    0.000', '    0.000', '    0.000', '0.0.0.0', '0/0', '1', '1970-01-01 03:00:00.000']
